dutch,english,confidence
tevreden,satisfied,high
voorzichtig,careful,high
sip,a bit sad,medium
slap,weak / no energy,high
ongerust,anxious,high
ondertiteling,subtitles,high
behandelen,to deal with / to treat,medium
benieuwd,curious,high
samenvatting,summary,high
onhandig,awkward / clumsy,high
huisgenoten,housemates,high
trouwens,by the way,high
zuchten,to sigh,high
voorlopig,for the time being,high
voeren,to feed / to conduct,medium
voren,forward,medium
asiel,asylum / shelter,medium
lastig,annoying / difficult,high
vrolijk,cheerful,high
hoe kom je daarbij,what makes you think that,high
op zoek zijn (naar),to be looking for,high
teleurgesteld,disappointed,high
(on)zin,(non)sense,medium
opschieten,hurry up,high
het karton,cardboard,high
het fluweel,velvet,high
het ijzer,iron,high
glad,smooth / slippery,high
vervoeren,to transport,high
goederen,goods,high
onvoldoende,insufficient,high
letterkunde,literature,high
heelal,universe,high
oneindig,endless / infinite,high
beleid,policy,high
geldig,valid,high
eenvoudig,simple,high
vlug,quick(ly),high
afscheid,farewell,high
aandacht,attention,high
alvast,already / in advance,medium
meerdere,several,high
voorstellen,to introduce / to propose,medium
kletsen,to chat,high
beduusd,stunned / bewildered,high
leerzaam,educational,high
omgeving,environment / surroundings,high
ingewikkeld,complicated,high
eigenlijk,actually,high
opgewekt,cheerful / upbeat,high
bos bloemen,bunch of flowers,high
bekennen,to confess,high
onverwachts,unexpected,high
toegeven,to admit,high
opgelucht,relieved,high
vervelend,annoying / unpleasant,high
ontroerd,emotionally moved,high
verveeld,bored,high
kwaad,angry,high
zenuwachtig,nervous,high
ongemakkelijk,uncomfortable,high
bovendien,moreover,high
op mâ€™n gemak,comfortable / at ease,high
gemakkelijk,easy / convenient,high
hoog opgeleid,highly educated,high
vrijwilliger,volunteer,high
onderzoek blijkt,study shows,medium
blijken uit,to be evident from,medium
een op de vijf,one in five,high
tussen ons houden,to keep between us,high
leugenaar,liar,high
vies,dirty,high
huishouden,household (chores),medium
verlopen,to expire / to proceed,medium
strak,tight / sleek,medium
te mooi om waar te zijn,too good to be true,high
schreeuwen,to scream,high
nauwelijks,hardly,high
amper,barely,high
alleen maar,only / merely,high
pas,only just / not until,medium
bevatten,to contain / to comprise,medium
getroost,comforted,medium
overtuigen,to convince,high
zich ergeren,to be annoyed,high
reageren (op),to react (to),high